date,location,boat_name,trip_type,num_anglers,catch,trip_num
2019-05-13,San Diego,Mission Belle,Full Day Trip,17 Anglers,85 Yellowtail,1
2019-05-13,San Diego,New Seaforth,1/2 Day Trip,26 Anglers,"4 Whitefish, 44 Rockfish",1
2019-05-13,San Diego,New Seaforth,1/2 Day Trip,39 Anglers,"1 Sculpin, 3 Yellowtail, 1 Whitefish",2
2019-05-13,San Diego,Point Loma,1/2 Day Trip,7 Anglers,55 Rockfish,1
2019-05-13,San Diego,Premier,1/2 Day Trip,17 Anglers,"1 Halibut, 4 Sculpin, 1 Sheephead, 4 Calico Bass, 57 Rockfish",1
2019-05-13,San Diego,Premier,1/2 Day Trip,22 Anglers,"9 Calico Bass, 3 Rockfish",2
2019-05-13,San Diego,Pronto,1/2 Day Trip,10 Anglers,"1 Sheephead, 25 Rockfish",1
2019-05-13,San Diego,San Diego,Full Day Trip,30 Anglers,37 Bluefin Tuna,1
2019-05-13,San Diego,Tomahawk,Overnight Trip,18 Anglers,15 Bluefin Tuna,1
2019-05-14,Washington Coast,Slammer,Full Day Trip,7 Anglers,"1 Cabezon, 14 Lingcod, 49 Rockfish",1
2019-05-14,North Coast,Reel Steel,Full Day Trip,6 Anglers,"12 Lingcod, 60 Rockfish",1
2019-05-14,Bay Area,California Dawn,Full Day Trip,30 Anglers,90 California Halibut (up to 20 pounds),1
2019-05-14,Bay Area,El Dorado,Full Day Trip,12 Anglers,"22 California Halibut, 13 Striped Bass",1
2019-05-14,Bay Area,Lovely Martha,1/2 Day Trip,19 Anglers,44 California Halibut (up to 27 pounds),1
2019-05-14,Bay Area,New Huck Finn,Full Day Trip,34 Anglers,"102 Halibut, 1 Striped Bass",1
2019-05-14,Bay Area,New Sea Angler,Full Day Trip,16 Anglers,"160 Dungeness Crab (up to 2.5 pounds), 16 Lingcod (up to 19 pounds), 160 Rockfish",1
2019-05-14,Bay Area,Pacific Dream,Full Day Trip,20 Anglers,"60 Halibut (up to 25 pounds), 2 Striped Bass (up to 5 pounds), 150 Halibut Released",1
2019-05-14,Bay Area,Pacific Pearl,1/2 Day Trip,10 Anglers,"30 Halibut (up to 15 pounds), 1 Striped Bass",1
2019-05-14,Central Coast,Check Mate,Full Day Trip,17 Anglers,"3 Lingcod, 170 Rockfish",1
2019-05-14,Central Coast,Fiesta,1/2 Day Trip,17 Anglers,"20 Bocaccio, 1 Lingcod, 10 Rockfish, 140 Vermilion Rockfish",1
2019-05-14,Central Coast,Flying Fish,1/2 Day Trip,18 Anglers,"22 Bocaccio, 36 Copper Rockfish, 2 Lingcod (up to 12 pounds), 53 Rockcod, 69 Red Rockcod",1
2019-05-14,Central Coast,Rita G,3/4 Day Trip,27 Anglers,"19 Bocaccio, 60 Copper Rockfish, 1 Lingcod (up to 12.4 pounds), 120 Vermilion Rockfish",1
2019-05-14,Central Coast,Starfire,1/2 Day Trip,21 Anglers,"20 Bocaccio, 1 Lingcod, 190 Red Rockfish",1
2019-05-14,Ventura Coast,Aloha Spirit,Full Day Trip,16 Anglers,11 White Seabass,1
2019-05-14,Ventura Coast,Amigo,Full Day Trip,20 Anglers,"1 Halibut, 2 Sheephead, 20 Lingcod, 29 Whitefish, 132 Rockfish",1
2019-05-14,Ventura Coast,Cobra,Full Day Trip,11 Anglers,"3 Barracuda, 4 Sculpin, 8 Calico Bass, 1 Lingcod, 30 Whitefish, 35 Rockfish",1
2019-05-14,Ventura Coast,Coral Sea,3/4 Day Trip,25 Anglers,"1 Cabezon, 25 Lingcod, 13 Whitefish, 162 Rockfish, 1 White Seabass",1
2019-05-14,Ventura Coast,Estella,3/4 Day Trip,18 Anglers,"2 Barracuda, 1 Sheephead, 1 Triggerfish, 2 Lingcod, 60 Whitefish, 150 Rockfish",1
2019-05-14,Ventura Coast,Gentleman,3/4 Day Trip,44 Anglers,"3 Sheephead, 5 Lingcod, 132 Whitefish, 308 Rockfish",1
2019-05-14,Ventura Coast,Mirage,Overnight Trip,24 Anglers,"1 Halibut, 4 Yellowtail, 51 Whitefish, 157 Rockfish, 24 White Seabass",1
2019-05-14,Ventura Coast,Pacific Dawn,Overnight Trip,24 Anglers,"7 Yellowtail, 1 Rock Sole, 148 Rockfish, 24 White Seabass",1
2019-05-14,Ventura Coast,Sea Jay,Full Day Trip,11 Anglers,"20 Rockfish, 1 White Seabass",1
2019-05-14,Ventura Coast,Speed Twin,1/2 Day Trip,15 Anglers,150 Rockfish,1
2019-05-14,Los Angeles,Betty-O,3/4 Day Trip,4 Anglers,40 Rockfish,1
2019-05-14,Los Angeles,Enterprise,3/4 Day Trip,12 Anglers,"1 Sheephead, 2 Yellowtail, 47 Blue Perch, 32 Calico Bass, 10 Whitefish, 12 Spanish Jack",1
2019-05-14,Los Angeles,Fortune,1.5 Day Trip,18 Anglers,"68 Yellowtail, 15 Calico Bass, 30 Rockfish",1
2019-05-14,Los Angeles,Freedom,Overnight Trip,35 Anglers,"2 Barracuda, 4 Sheephead, 21 Yellowtail, 32 Calico Bass, 9 Whitefish, 58 Rockfish",1
2019-05-14,Los Angeles,Monte Carlo,1/2 Day Trip,15 Anglers,"75 Sculpin, 31 Rockfish, 65 Sanddab",1
2019-05-14,Los Angeles,Native Sun,3/4 Day Trip,32 Anglers,"3 Barracuda, 1 Sheephead, 11 Yellowtail, 3 Blue Perch, 21 Calico Bass, 2 Bonito",1
2019-05-14,Los Angeles,New Del Mar,1/2 Day Trip,24 Anglers,"16 Sculpin, 2 Sheephead, 1 Lingcod, 30 Whitefish, 145 Rockfish",1
2019-05-14,Los Angeles,Outrider,Overnight Trip,8 Anglers,"1 Sculpin, 19 Yellowtail, 8 Lingcod, 3 Whitefish, 80 Red Snapper",1
2019-05-14,Los Angeles,Pursuit,Full Day Trip,42 Anglers,"10 Sheephead, 7 Blue Perch, 17 Calico Bass, 24 Whitefish",1
2019-05-14,Los Angeles,Sport King,3/4 Day Trip,11 Anglers,"9 Sculpin, 2 Blue Perch, 27 Calico Bass, 35 Rockfish, 18 Red Snapper",1
2019-05-14,Los Angeles,Victory,3/4 Day Trip,12 Anglers,"1 Sand Bass, 60 Sculpin, 12 Whitefish, 40 Vermillion Rockfish",1
2019-05-14,Orange,Aggressor,Overnight Trip,14 Anglers,"1 Sculpin, 10 Sheephead, 14 Yellowtail, 30 Calico Bass, 1 Lingcod, 50 Whitefish, 100 Rockfish",1
